yas_gun,cinsiyet_encoded,dogumKilo,boy,gogusEevresi,kalcaYuksekligi,yemMiktari,sicaklik,nem,saglik_encoded,mevsim_encoded,irk_Esmer,irk_Simental,irk_Siyah Alaca,irk_Yerli Kara,irk_Şarole,kilo,gunlukArtis,hayvanId,yasAy
660,1,31.8,114.0,732.4,112.7,21.2,26.8,53.2,2,1,False,False,False,True,False,860.2,0.985,TR0096,22
690,1,31.8,115.3,753.7,117.5,22.7,24.5,54.5,3,1,False,False,False,True,False,891.1,1.03,TR0096,23
0,0,46.0,72.8,41.0,75.0,1.1,32.7,47.6,2,2,False,True,False,False,False,46.0,0.0,TR0097,0
30,0,46.0,74.7,76.1,74.8,2.2,34.3,55.0,4,2,False,True,False,False,False,92.2,1.541,TR0097,1
60,0,46.0,76.6,116.0,77.7,3.9,28.4,50.7,3,3,False,True,False,False,False,139.1,1.563,TR0097,2
90,0,46.0,78.5,163.2,78.0,5.1,15.2,76.6,3,3,False,True,False,False,False,186.5,1.58,TR0097,3
120,0,46.0,80.2,194.0,80.8,5.7,16.1,51.3,3,3,False,True,False,False,False,230.6,1.469,TR0097,4
150,0,46.0,81.9,231.0,81.6,6.9,21.9,58.0,3,0,False,True,False,False,False,273.3,1.424,TR0097,5
180,0,46.0,83.6,268.9,83.1,8.0,23.4,45.2,3,0,False,True,False,False,False,314.1,1.359,TR0097,6
210,0,46.0,85.3,302.3,83.9,9.0,34.3,49.7,3,0,False,True,False,False,False,356.6,1.418,TR0097,7
240,0,46.0,87.1,337.4,89.8,9.7,26.0,76.2,3,1,False,True,False,False,False,401.4,1.493,TR0097,8
270,0,46.0,88.7,372.4,88.4,11.6,20.5,63.2,3,1,False,True,False,False,False,443.5,1.405,TR0097,9
300,0,46.0,90.5,419.8,90.1,12.5,31.1,76.8,4,1,False,True,False,False,False,488.6,1.502,TR0097,10
330,0,46.0,92.1,444.7,91.2,13.4,32.9,53.3,4,2,False,True,False,False,False,528.8,1.339,TR0097,11
360,0,46.0,93.6,479.8,92.8,14.4,28.7,74.1,3,2,False,True,False,False,False,566.0,1.241,TR0097,12
390,0,46.0,95.1,513.0,93.2,15.0,25.0,79.2,4,2,False,True,False,False,False,603.3,1.243,TR0097,13
420,0,46.0,96.6,547.0,98.5,15.9,27.3,76.8,4,2,False,True,False,False,False,639.3,1.199,TR0097,14
450,0,46.0,98.2,576.3,97.8,16.9,26.7,50.1,4,3,False,True,False,False,False,679.2,1.332,TR0097,15
480,0,46.0,99.6,610.0,98.5,18.0,15.1,59.2,3,3,False,True,False,False,False,714.6,1.178,TR0097,16
510,0,46.0,101.0,634.1,99.1,19.2,19.3,51.7,3,3,False,True,False,False,False,749.2,1.154,TR0097,17
540,0,46.0,102.4,669.8,104.1,19.6,25.1,50.5,4,0,False,True,False,False,False,784.1,1.166,TR0097,18
570,0,46.0,103.6,688.8,103.6,20.7,15.1,42.8,2,0,False,True,False,False,False,815.9,1.059,TR0097,19
600,0,46.0,104.9,723.8,106.9,21.3,16.5,54.2,4,0,False,True,False,False,False,847.7,1.059,TR0097,20
630,0,46.0,106.2,747.0,108.2,22.4,24.2,43.6,3,1,False,True,False,False,False,880.2,1.084,TR0097,21
660,0,46.0,107.5,778.8,107.6,23.1,30.9,72.7,3,1,False,True,False,False,False,912.8,1.087,TR0097,22
0,0,42.5,78.9,35.3,78.4,1.4,29.3,64.0,2,3,False,False,True,False,False,42.5,0.0,TR0098,0
30,0,42.5,80.8,72.0,82.9,1.9,17.1,70.7,3,3,False,False,True,False,False,88.8,1.541,TR0098,1
60,0,42.5,82.5,110.8,84.8,3.2,26.8,79.1,2,0,False,False,True,False,False,132.3,1.451,TR0098,2
90,0,42.5,84.2,149.1,83.4,4.0,27.6,78.8,3,0,False,False,True,False,False,174.5,1.406,TR0098,3
120,0,42.5,85.7,180.1,84.9,5.4,15.0,68.4,1,0,False,False,True,False,False,212.1,1.255,TR0098,4
150,0,42.5,87.4,213.4,88.0,6.0,27.5,54.1,2,1,False,False,True,False,False,254.0,1.394,TR0098,5
180,0,42.5,89.1,255.3,89.4,7.8,15.3,58.4,3,1,False,False,True,False,False,297.6,1.453,TR0098,6
0,1,40.1,72.5,29.8,71.5,0.8,30.5,75.6,3,2,False,False,False,True,False,40.1,0.0,TR0099,0
30,1,40.1,74.3,72.1,73.8,2.5,15.6,65.3,3,2,False,False,False,True,False,85.5,1.515,TR0099,1
60,1,40.1,75.5,96.4,78.1,2.8,28.8,61.5,0,2,False,False,False,True,False,116.1,1.02,TR0099,2
90,1,40.1,77.4,136.5,75.6,3.8,28.5,68.1,3,3,False,False,False,True,False,162.9,1.56,TR0099,3
120,1,40.1,79.1,177.6,80.3,5.6,25.5,65.1,3,3,False,False,False,True,False,206.4,1.449,TR0099,4
150,1,40.1,81.0,214.9,79.4,6.5,29.4,65.7,3,3,False,False,False,True,False,252.5,1.536,TR0099,5
180,1,40.1,82.6,246.1,80.9,7.5,20.2,43.0,3,0,False,False,False,True,False,293.2,1.359,TR0099,6
210,1,40.1,84.3,287.3,83.1,8.6,21.6,42.5,3,0,False,False,False,True,False,334.7,1.381,TR0099,7
240,1,40.1,85.9,324.8,84.5,9.4,17.3,42.6,3,0,False,False,False,True,False,376.7,1.402,TR0099,8
270,1,40.1,87.8,356.2,89.1,10.7,27.6,69.9,4,1,False,False,False,True,False,422.4,1.524,TR0099,9
300,1,40.1,89.4,390.1,91.1,12.0,28.8,62.4,3,1,False,False,False,True,False,463.5,1.371,TR0099,10
330,1,40.1,91.2,431.4,93.5,13.1,29.7,61.6,4,1,False,False,False,True,False,507.4,1.462,TR0099,11
360,1,40.1,92.8,460.4,91.6,13.6,26.5,53.6,4,2,False,False,False,True,False,547.0,1.32,TR0099,12
390,1,40.1,94.2,496.0,96.9,14.2,21.4,57.2,2,2,False,False,False,True,False,581.9,1.164,TR0099,13
420,1,40.1,95.4,524.8,97.2,15.0,25.7,62.6,2,2,False,False,False,True,False,614.2,1.074,TR0099,14
450,1,40.1,96.8,548.1,95.3,16.4,27.2,43.0,2,3,False,False,False,True,False,648.3,1.137,TR0099,15
480,1,40.1,98.3,585.9,99.2,16.7,31.0,53.2,3,3,False,False,False,True,False,685.2,1.23,TR0099,16
510,1,40.1,99.7,613.7,101.3,18.1,18.5,60.5,3,3,False,False,False,True,False,719.8,1.153,TR0099,17
540,1,40.1,101.0,638.5,100.6,19.2,20.2,75.9,4,0,False,False,False,True,False,752.5,1.09,TR0099,18
570,1,40.1,102.2,664.4,101.3,19.5,25.8,61.3,3,0,False,False,False,True,False,784.3,1.06,TR0099,19
600,1,40.1,103.5,691.5,102.7,19.9,32.9,62.0,3,0,False,False,False,True,False,814.8,1.019,TR0099,20
630,1,40.1,104.7,721.3,107.0,21.0,29.8,50.9,3,1,False,False,False,True,False,846.0,1.04,TR0099,21
660,1,40.1,106.0,751.0,106.6,21.9,17.1,75.4,3,1,False,False,False,True,False,878.0,1.066,TR0099,22
690,1,40.1,107.2,773.7,107.1,23.1,25.7,45.7,3,1,False,False,False,True,False,908.5,1.017,TR0099,23
0,0,37.3,75.1,27.4,75.4,1.0,34.6,50.5,2,1,True,False,False,False,False,37.3,0.0,TR0100,0
30,0,37.3,76.5,61.1,74.7,1.5,25.5,70.1,1,1,True,False,False,False,False,73.2,1.197,TR0100,1
60,0,37.3,78.0,91.0,78.8,2.4,31.4,71.7,2,2,True,False,False,False,False,110.8,1.254,TR0100,2
90,0,37.3,79.1,113.2,79.7,3.1,22.0,50.4,0,2,True,False,False,False,False,137.6,0.893,TR0100,3
120,0,37.3,80.5,144.1,79.4,4.8,23.3,68.3,2,2,True,False,False,False,False,172.5,1.164,TR0100,4
150,0,37.3,81.9,176.8,82.1,5.1,28.9,50.4,1,3,True,False,False,False,False,207.7,1.173,TR0100,5
180,0,37.3,83.4,210.1,82.1,5.9,29.6,54.1,3,3,True,False,False,False,False,245.2,1.249,TR0100,6
210,0,37.3,84.9,236.9,86.0,7.2,19.9,42.3,4,3,True,False,False,False,False,283.2,1.267,TR0100,7
240,0,37.3,86.4,275.9,86.5,8.2,16.5,42.9,4,0,True,False,False,False,False,320.1,1.231,TR0100,8
270,0,37.3,87.7,295.2,89.0,8.6,27.8,56.7,2,0,True,False,False,False,False,352.8,1.091,TR0100,9
300,0,37.3,89.0,327.5,90.0,10.1,19.7,66.4,2,0,True,False,False,False,False,386.1,1.107,TR0100,10
330,0,37.3,90.5,359.9,89.6,10.2,26.9,70.1,4,1,True,False,False,False,False,422.8,1.226,TR0100,11
360,0,37.3,92.0,391.1,93.6,11.4,23.0,45.8,3,1,True,False,False,False,False,459.7,1.229,TR0100,12
0,1,43.7,82.9,40.7,84.6,0.9,16.8,45.3,2,3,False,True,False,False,False,43.7,0.0,TR0101,0
30,1,43.7,84.8,78.3,84.0,2.2,32.6,72.4,1,3,False,True,False,False,False,90.5,1.563,TR0101,1
60,1,43.7,86.8,122.5,87.5,3.7,26.0,57.5,3,3,False,True,False,False,False,141.2,1.689,TR0101,2
90,1,43.7,88.9,163.7,87.6,4.4,15.1,68.7,4,0,False,True,False,False,False,192.6,1.713,TR0101,3
120,1,43.7,90.3,196.8,91.2,5.3,29.9,45.5,0,0,False,True,False,False,False,228.2,1.186,TR0101,4
150,1,43.7,92.3,240.1,90.7,6.7,25.6,56.4,4,0,False,True,False,False,False,278.7,1.683,TR0101,5
180,1,43.7,93.9,276.1,92.5,7.5,20.6,78.1,1,1,False,True,False,False,False,319.2,1.352,TR0101,6
210,1,43.7,96.0,320.0,95.1,9.4,20.4,72.6,4,1,False,True,False,False,False,370.7,1.717,TR0101,7
240,1,43.7,98.0,360.0,99.5,10.9,21.7,59.4,3,1,False,True,False,False,False,419.6,1.628,TR0101,8
270,1,43.7,99.6,390.3,101.2,11.6,28.5,47.2,2,2,False,True,False,False,False,460.3,1.358,TR0101,9
300,1,43.7,101.2,423.0,99.6,12.4,17.6,70.9,3,2,False,True,False,False,False,501.0,1.357,TR0101,10
330,1,43.7,102.8,463.2,104.5,13.2,26.6,54.0,3,2,False,True,False,False,False,540.6,1.319,TR0101,11
360,1,43.7,104.6,498.9,103.4,15.1,15.2,64.4,4,3,False,True,False,False,False,585.7,1.504,TR0101,12
390,1,43.7,106.3,533.6,105.7,15.3,25.2,63.3,4,3,False,True,False,False,False,628.9,1.439,TR0101,13
420,1,43.7,108.0,569.7,107.3,17.2,25.9,44.8,2,3,False,True,False,False,False,669.5,1.354,TR0101,14
450,1,43.7,109.5,604.7,109.0,18.1,19.9,46.0,3,3,False,True,False,False,False,708.8,1.308,TR0101,15
480,1,43.7,111.1,637.2,112.9,18.7,19.7,74.6,4,0,False,True,False,False,False,748.6,1.326,TR0101,16
510,1,43.7,112.6,665.4,113.3,19.3,19.1,66.1,3,0,False,True,False,False,False,786.7,1.27,TR0101,17
540,1,43.7,114.1,701.8,114.5,20.5,16.3,43.2,3,0,False,True,False,False,False,824.1,1.247,TR0101,18
570,1,43.7,115.6,727.0,117.5,21.3,34.5,46.2,3,1,False,True,False,False,False,860.7,1.221,TR0101,19
600,1,43.7,117.1,759.0,115.4,22.3,31.4,45.8,3,1,False,True,False,False,False,898.2,1.249,TR0101,20
630,1,43.7,118.7,796.4,117.1,23.0,16.4,76.9,4,1,False,True,False,False,False,937.4,1.308,TR0101,21
660,1,43.7,120.0,820.2,119.0,24.3,24.1,41.2,4,2,False,True,False,False,False,970.3,1.095,TR0101,22
690,1,43.7,121.1,850.6,123.6,25.1,20.0,67.4,2,2,False,True,False,False,False,999.0,0.959,TR0101,23
0,0,44.8,73.3,34.9,76.0,1.3,23.5,76.6,2,0,False,False,True,False,False,44.8,0.0,TR0102,0
30,0,44.8,75.1,72.0,75.5,2.1,24.1,41.3,2,0,False,False,True,False,False,88.4,1.452,TR0102,1
60,0,44.8,76.7,113.5,78.7,3.7,31.9,53.5,2,0,False,False,True,False,False,128.7,1.342,TR0102,2
90,0,44.8,78.3,139.0,80.9,3.7,34.8,77.5,1,1,False,False,True,False,False,168.5,1.326,TR0102,3
120,0,44.8,80.1,179.2,81.5,4.9,23.6,54.1,3,1,False,False,True,False,False,213.3,1.496,TR0102,4
150,0,44.8,82.0,227.6,84.5,7.0,28.5,58.6,4,1,False,False,True,False,False,262.1,1.625,TR0102,5
180,0,44.8,83.7,256.4,83.3,7.8,16.3,72.6,4,2,False,False,True,False,False,305.0,1.43,TR0102,6
210,0,44.8,85.3,290.7,85.6,8.6,15.2,44.9,4,2,False,False,True,False,False,344.8,1.326,TR0102,7
240,0,44.8,86.8,329.3,86.5,9.3,31.8,63.7,3,2,False,False,True,False,False,382.0,1.242,TR0102,8
270,0,44.8,88.5,362.9,90.2,10.6,31.3,66.0,4,3,False,False,True,False,False,425.2,1.44,TR0102,9
300,0,44.8,90.2,397.4,90.4,12.2,28.1,69.9,4,3,False,False,True,False,False,467.5,1.409,TR0102,10
330,0,44.8,91.7,425.8,89.9,12.2,33.1,47.4,2,3,False,False,True,False,False,504.6,1.236,TR0102,11
360,0,44.8,93.1,460.4,93.7,13.6,19.3,74.5,2,0,False,False,True,False,False,538.6,1.135,TR0102,12
390,0,44.8,94.5,487.4,94.4,14.2,16.2,63.6,3,0,False,False,True,False,False,575.7,1.236,TR0102,13
420,0,44.8,95.9,517.8,95.5,15.6,16.7,71.9,3,0,False,False,True,False,False,610.0,1.144,TR0102,14
450,0,44.8,97.4,546.6,98.1,16.5,30.8,42.2,4,1,False,False,True,False,False,647.5,1.249,TR0102,15
480,0,44.8,98.8,582.1,99.6,17.1,23.2,51.4,2,1,False,False,True,False,False,682.2,1.158,TR0102,16
510,0,44.8,100.2,605.2,100.2,17.5,18.3,60.2,2,1,False,False,True,False,False,716.6,1.147,TR0102,17
540,0,44.8,101.5,638.1,102.2,18.7,22.0,51.9,3,2,False,False,True,False,False,748.8,1.072,TR0102,18
570,0,44.8,102.7,666.5,105.1,19.1,16.4,67.9,4,2,False,False,True,False,False,780.8,1.066,TR0102,19
600,0,44.8,103.9,690.3,104.2,20.3,32.6,72.9,2,2,False,False,True,False,False,808.4,0.921,TR0102,20
630,0,44.8,105.0,708.2,106.1,21.4,30.0,54.1,3,3,False,False,True,False,False,838.0,0.987,TR0102,21
660,0,44.8,106.3,742.0,107.6,21.6,24.4,60.8,3,3,False,False,True,False,False,868.7,1.022,TR0102,22
690,0,44.8,107.5,766.6,105.5,22.2,28.6,74.0,4,3,False,False,True,False,False,898.7,0.999,TR0102,23
0,0,45.1,80.2,37.8,83.0,0.9,18.8,51.5,3,0,False,True,False,False,False,45.1,0.0,TR0103,0
30,0,45.1,82.0,76.6,82.8,2.6,28.7,70.6,2,1,False,True,False,False,False,92.0,1.565,TR0103,1
60,0,45.1,83.9,115.1,84.2,3.8,23.6,70.7,2,1,False,True,False,False,False,138.5,1.549,TR0103,2
0,0,37.8,84.0,32.5,84.0,1.1,34.5,60.5,3,1,True,False,False,False,False,37.8,0.0,TR0104,0
30,0,37.8,85.8,75.1,87.1,1.6,17.0,42.6,4,1,True,False,False,False,False,82.7,1.497,TR0104,1
0,0,40.2,73.3,32.8,76.0,1.0,24.8,40.7,3,0,False,False,True,False,False,40.2,0.0,TR0105,0
30,0,40.2,75.1,68.3,77.0,2.2,15.9,66.5,3,0,False,False,True,False,False,84.4,1.476,TR0105,1
60,0,40.2,76.7,104.2,75.1,3.2,16.5,54.7,3,0,False,False,True,False,False,126.8,1.412,TR0105,2
90,0,40.2,78.4,145.0,77.7,4.6,22.8,64.5,1,1,False,False,True,False,False,167.0,1.339,TR0105,3
120,0,40.2,80.1,183.3,79.4,5.1,26.3,66.7,3,1,False,False,True,False,False,211.5,1.485,TR0105,4
0,1,35.9,74.9,26.2,73.8,0.5,28.6,54.0,1,0,True,False,False,False,False,35.9,0.0,TR0106,0
30,1,35.9,76.6,67.7,79.0,1.5,20.7,56.8,2,1,True,False,False,False,False,79.4,1.448,TR0106,1
60,1,35.9,78.5,106.3,80.4,3.4,20.4,77.0,3,1,True,False,False,False,False,127.8,1.615,TR0106,2
90,1,35.9,80.4,144.4,80.7,4.7,22.8,50.6,4,1,True,False,False,False,False,175.4,1.586,TR0106,3
120,1,35.9,81.9,175.1,84.2,5.1,34.2,70.6,1,2,True,False,False,False,False,210.7,1.177,TR0106,4
150,1,35.9,83.3,208.5,85.8,6.2,21.3,42.3,1,2,True,False,False,False,False,247.1,1.215,TR0106,5
180,1,35.9,84.6,232.9,85.5,6.5,23.1,44.4,1,2,True,False,False,False,False,279.4,1.077,TR0106,6
210,1,35.9,86.2,274.5,87.8,8.4,20.9,56.2,3,3,True,False,False,False,False,319.8,1.346,TR0106,7
240,1,35.9,88.0,313.7,90.6,9.3,15.9,57.6,4,3,True,False,False,False,False,363.6,1.46,TR0106,8
270,1,35.9,89.7,341.9,89.8,10.6,27.8,77.9,4,3,True,False,False,False,False,407.5,1.463,TR0106,9
300,1,35.9,91.2,382.4,89.4,11.0,31.4,49.5,3,0,True,False,False,False,False,444.2,1.223,TR0106,10
330,1,35.9,92.7,414.3,91.4,12.6,26.4,45.8,4,0,True,False,False,False,False,482.6,1.281,TR0106,11
360,1,35.9,94.2,445.7,92.6,12.7,31.5,74.7,3,0,True,False,False,False,False,520.3,1.255,TR0106,12
390,1,35.9,95.3,466.0,95.2,13.4,24.9,44.7,0,1,True,False,False,False,False,547.6,0.911,TR0106,13
420,1,35.9,96.8,492.4,97.5,14.4,28.0,40.5,3,1,True,False,False,False,False,584.1,1.218,TR0106,14
450,1,35.9,98.3,531.7,97.3,16.0,32.4,66.8,3,1,True,False,False,False,False,622.6,1.283,TR0106,15
480,1,35.9,99.6,552.0,98.9,16.0,28.0,78.4,3,2,True,False,False,False,False,654.7,1.068,TR0106,16
510,1,35.9,100.8,580.8,102.7,16.6,29.3,52.4,2,2,True,False,False,False,False,683.2,0.95,TR0106,17
540,1,35.9,102.0,611.1,102.5,18.2,18.4,51.6,3,2,True,False,False,False,False,714.7,1.05,TR0106,18
570,1,35.9,103.4,640.8,104.0,18.6,26.5,76.1,4,3,True,False,False,False,False,748.9,1.141,TR0106,19
600,1,35.9,104.7,663.0,103.0,19.9,24.4,54.5,3,3,True,False,False,False,False,780.6,1.058,TR0106,20
630,1,35.9,105.9,687.5,107.1,19.9,24.0,70.3,4,3,True,False,False,False,False,811.5,1.03,TR0106,21
660,1,35.9,107.1,713.4,106.8,20.7,26.1,75.4,3,0,True,False,False,False,False,841.3,0.992,TR0106,22
690,1,35.9,108.2,734.5,109.5,21.9,17.5,66.0,4,0,True,False,False,False,False,869.5,0.942,TR0106,23
0,0,31.2,84.2,30.7,84.9,1.2,32.4,65.0,2,3,False,False,False,True,False,31.2,0.0,TR0107,0
30,0,31.2,85.7,61.2,84.4,1.9,22.9,57.4,1,3,False,False,False,True,False,68.2,1.234,TR0107,1
60,0,31.2,87.3,93.8,89.0,2.9,22.0,72.3,3,3,False,False,False,True,False,108.9,1.357,TR0107,2
90,0,31.2,88.8,125.6,87.8,3.5,32.5,47.2,1,0,False,False,False,True,False,144.6,1.191,TR0107,3
120,0,31.2,90.3,157.9,91.3,4.5,28.6,69.5,2,0,False,False,False,True,False,182.4,1.259,TR0107,4
150,0,31.2,91.9,190.9,91.7,5.3,29.8,68.5,3,0,False,False,False,True,False,222.2,1.328,TR0107,5
180,0,31.2,93.4,226.3,95.4,6.9,16.0,76.9,2,1,False,False,False,True,False,260.4,1.273,TR0107,6
210,0,31.2,94.7,249.8,96.2,7.7,23.5,64.2,1,1,False,False,False,True,False,293.8,1.113,TR0107,7
240,0,31.2,96.3,284.0,96.0,8.1,27.7,71.1,4,1,False,False,False,True,False,333.1,1.308,TR0107,8
270,0,31.2,97.6,308.6,96.4,8.7,16.6,74.6,2,2,False,False,False,True,False,365.6,1.085,TR0107,9
300,0,31.2,98.9,337.4,100.8,9.6,17.5,75.6,2,2,False,False,False,True,False,398.2,1.085,TR0107,10
330,0,31.2,100.2,370.5,100.2,11.0,20.9,66.8,3,2,False,False,False,True,False,430.5,1.078,TR0107,11
360,0,31.2,101.2,387.9,102.6,10.9,16.7,51.4,0,3,False,False,False,True,False,454.8,0.811,TR0107,12
390,0,31.2,102.3,413.6,103.8,12.0,25.2,49.9,1,3,False,False,False,True,False,483.6,0.959,TR0107,13
420,0,31.2,103.7,441.0,104.1,12.7,21.7,75.3,4,3,False,False,False,True,False,518.3,1.157,TR0107,14
450,0,31.2,104.9,470.9,104.0,13.7,24.2,71.7,3,0,False,False,False,True,False,548.5,1.007,TR0107,15
480,0,31.2,106.1,486.6,106.1,14.7,19.0,64.6,2,0,False,False,False,True,False,577.9,0.978,TR0107,16
510,0,31.2,107.3,515.6,109.1,15.4,16.0,46.2,4,0,False,False,False,True,False,608.7,1.027,TR0107,17
540,0,31.2,108.4,539.1,111.3,16.1,32.5,68.6,1,1,False,False,False,True,False,636.6,0.93,TR0107,18
570,0,31.2,109.7,569.1,111.6,16.6,22.3,71.9,3,1,False,False,False,True,False,667.9,1.044,TR0107,19
600,0,31.2,110.9,588.8,110.1,17.3,15.7,42.2,3,1,False,False,False,True,False,698.1,1.004,TR0107,20
630,0,31.2,111.9,616.5,112.9,17.7,34.3,72.0,3,2,False,False,False,True,False,724.1,0.87,TR0107,21
660,0,31.2,113.0,643.1,114.9,18.5,32.9,69.5,3,2,False,False,False,True,False,750.8,0.889,TR0107,22
690,0,31.2,114.0,663.0,113.2,19.6,16.3,51.9,3,2,False,False,False,True,False,776.6,0.86,TR0107,23
0,0,44.3,83.8,34.8,86.8,1.4,31.9,78.9,4,3,False,True,False,False,False,44.3,0.0,TR0108,0
30,0,44.3,85.7,77.1,88.5,2.2,24.8,47.3,2,3,False,True,False,False,False,91.6,1.575,TR0108,1
60,0,44.3,87.6,121.9,87.7,3.4,21.4,44.4,3,0,False,True,False,False,False,138.5,1.563,TR0108,2
90,0,44.3,89.1,148.5,89.3,4.6,30.7,53.2,1,0,False,True,False,False,False,177.4,1.298,TR0108,3
120,0,44.3,90.8,189.7,91.3,5.8,25.8,55.0,2,0,False,True,False,False,False,220.7,1.44,TR0108,4
150,0,44.3,92.6,222.1,93.5,6.1,34.6,63.3,2,1,False,True,False,False,False,263.8,1.437,TR0108,5
180,0,44.3,94.2,261.9,92.5,7.2,18.9,76.0,2,1,False,True,False,False,False,304.7,1.364,TR0108,6
0,0,35.9,83.8,25.8,82.7,0.8,34.9,43.3,3,2,True,False,False,False,False,35.9,0.0,TR0109,0
30,0,35.9,85.4,66.6,84.4,1.4,24.0,50.7,2,2,True,False,False,False,False,75.0,1.304,TR0109,1
60,0,35.9,87.1,100.2,87.3,3.3,30.3,48.3,4,3,True,False,False,False,False,116.7,1.388,TR0109,2
90,0,35.9,88.7,136.0,88.5,4.4,26.1,58.8,2,3,True,False,False,False,False,156.5,1.327,TR0109,3
120,0,35.9,90.2,166.1,89.8,5.2,21.1,47.0,2,3,True,False,False,False,False,194.3,1.262,TR0109,4
150,0,35.9,91.6,194.2,92.3,5.5,25.2,41.5,3,0,True,False,False,False,False,230.5,1.206,TR0109,5
180,0,35.9,93.1,231.6,95.4,7.1,18.5,69.9,4,0,True,False,False,False,False,267.4,1.23,TR0109,6
210,0,35.9,94.6,256.4,96.7,7.8,29.3,66.4,3,0,True,False,False,False,False,304.6,1.241,TR0109,7
240,0,35.9,96.1,294.3,95.3,8.1,26.9,77.4,4,1,True,False,False,False,False,342.5,1.262,TR0109,8
270,0,35.9,97.6,324.0,98.7,9.4,15.2,47.4,3,1,True,False,False,False,False,380.9,1.28,TR0109,9
0,1,36.6,79.0,30.4,81.7,0.7,18.8,54.3,2,1,True,False,False,False,False,36.6,0.0,TR0110,0
30,1,36.6,80.9,71.7,79.1,2.3,32.9,57.1,3,1,True,False,False,False,False,84.5,1.595,TR0110,1
0,1,46.5,74.9,42.1,75.8,0.9,16.5,45.2,2,2,False,True,False,False,False,46.5,0.0,TR0111,0
30,1,46.5,76.8,83.0,79.6,2.4,28.1,57.3,2,2,False,True,False,False,False,93.9,1.578,TR0111,1
60,1,46.5,78.9,122.3,80.3,3.3,18.6,41.7,3,3,False,True,False,False,False,145.5,1.72,TR0111,2
90,1,46.5,80.8,162.7,80.7,5.2,19.7,73.4,2,3,False,True,False,False,False,194.1,1.623,TR0111,3
120,1,46.5,82.3,192.6,83.4,6.0,26.9,59.0,0,3,False,True,False,False,False,231.0,1.227,TR0111,4
150,1,46.5,84.0,229.7,85.5,6.5,34.9,54.1,2,0,False,True,False,False,False,274.8,1.462,TR0111,5
180,1,46.5,85.9,273.6,86.5,8.4,32.0,53.1,3,0,False,True,False,False,False,322.4,1.586,TR0111,6
210,1,46.5,87.8,315.7,88.3,9.5,21.0,48.8,4,0,False,True,False,False,False,368.2,1.526,TR0111,7
240,1,46.5,89.6,351.3,87.8,10.6,19.3,72.0,3,1,False,True,False,False,False,414.9,1.556,TR0111,8
270,1,46.5,91.3,384.2,90.2,11.7,18.1,53.5,1,1,False,True,False,False,False,456.3,1.38,TR0111,9
300,1,46.5,93.0,424.5,92.6,12.8,31.6,48.1,2,1,False,True,False,False,False,500.4,1.469,TR0111,10
0,1,29.3,83.9,24.6,84.7,1.2,23.6,44.0,3,0,False,False,False,True,False,29.3,0.0,TR0112,0
30,1,29.3,85.8,61.6,83.9,2.1,16.7,76.2,3,0,False,False,False,True,False,75.6,1.541,TR0112,1
60,1,29.3,87.3,95.3,88.7,3.2,34.1,45.5,1,0,False,False,False,True,False,114.1,1.286,TR0112,2
90,1,29.3,89.3,140.4,88.5,4.0,26.9,60.9,4,1,False,False,False,True,False,164.0,1.661,TR0112,3
120,1,29.3,91.1,181.8,90.0,5.1,25.9,53.0,2,1,False,False,False,True,False,208.9,1.498,TR0112,4
150,1,29.3,92.9,216.4,95.3,6.1,25.7,74.5,2,1,False,False,False,True,False,253.9,1.501,TR0112,5
180,1,29.3,94.5,254.4,92.6,7.0,32.6,72.5,3,2,False,False,False,True,False,294.4,1.35,TR0112,6
210,1,29.3,96.2,290.4,99.1,8.4,25.8,79.6,4,2,False,False,False,True,False,336.1,1.389,TR0112,7
240,1,29.3,97.7,318.3,97.9,9.0,15.9,63.0,3,2,False,False,False,True,False,374.3,1.274,TR0112,8
270,1,29.3,99.3,351.4,101.4,10.6,32.3,71.3,2,3,False,False,False,True,False,413.4,1.302,TR0112,9
300,1,29.3,100.6,375.9,99.1,11.3,24.7,67.0,1,3,False,False,False,True,False,446.8,1.113,TR0112,10
330,1,29.3,102.3,414.7,104.6,11.9,16.2,51.5,4,3,False,False,False,True,False,487.8,1.367,TR0112,11
360,1,29.3,103.8,450.8,106.7,13.5,31.7,50.2,3,0,False,False,False,True,False,525.9,1.272,TR0112,12
390,1,29.3,105.2,480.3,103.4,14.3,24.1,72.5,3,0,False,False,False,True,False,560.6,1.154,TR0112,13
420,1,29.3,106.7,507.2,105.0,14.5,31.9,53.7,3,0,False,False,False,True,False,598.0,1.248,TR0112,14
450,1,29.3,108.1,543.7,109.0,15.5,18.4,43.0,3,1,False,False,False,True,False,634.5,1.215,TR0112,15
480,1,29.3,109.6,570.1,108.4,17.2,29.9,64.8,3,1,False,False,False,True,False,672.2,1.257,TR0112,16
510,1,29.3,111.1,605.4,111.4,18.1,27.1,74.1,4,1,False,False,False,True,False,708.8,1.221,TR0112,17
0,0,41.4,76.2,35.3,77.1,1.0,22.9,64.5,2,3,False,True,False,False,False,41.4,0.0,TR0113,0
30,0,41.4,77.9,69.0,80.8,2.1,30.3,67.3,1,3,False,True,False,False,False,83.6,1.406,TR0113,1
60,0,41.4,79.7,107.1,77.8,3.2,25.8,47.2,3,0,False,True,False,False,False,128.7,1.506,TR0113,2
90,0,41.4,81.4,150.3,80.3,4.1,28.7,52.1,3,0,False,True,False,False,False,171.9,1.438,TR0113,3
